,Head/Neck/Face,LowerExt,Other/Multiple,Trunk,UpperExt,Mean_Abs_Importance
Diagnosis_Category_Poisoning/Environmental,-2.142044543807551,-1.9318441724600084,7.9744121223202775,-1.4462923188918881,-2.4542310871608897,3.189764848928123
Diagnosis_Category_Fracture,-0.08693832109423799,1.4181135181065554,-4.384335037141756,1.1558996212951482,1.8972602188343397,1.7885093432944075
Diagnosis_Category_Laceration/Puncture/Avulsion/Amputation,1.8770016268193686,0.656795121674938,-2.8305678281569917,-1.0115356143425225,1.3083066940052828,1.5368413769998208
Diagnosis_Category_ForeignBody/Aspiration/Ingestion,0.4565759247737987,-1.502213677187739,3.1735072615953257,-1.2267652538524705,-0.901104255328989,1.4520332745476645
Diagnosis_Category_Strain/Sprain/Dislocation,-0.5061881015831008,1.3460690244564737,-2.4834090874273804,1.003393479764524,0.6401346847894765,1.195838875604191
Product_Category_Home/Tools,-1.248684796114478,1.6148167242703308,0.3859236591432092,-0.694396622398642,-0.057658964900435004,0.800296153365419
Disposition_8,0.06129602428834775,-0.577578073906059,1.847177762399303,-0.7234669526420419,-0.6074287601395533,0.763389514675061
Diagnosis_Category_Contusion/Hematoma/Internal,1.7057870460139761,-0.05885356644275153,-1.5190182831929322,0.17175894097590783,-0.29967413735411735,0.7510183947959371
Diagnosis_Category_Other/Dental/Nerve/Skin,-0.5484254307565636,-0.417199208732484,1.53275518319668,0.3360262921004756,-0.9031568358081313,0.7475125901188668
Age_Category_0-4,0.9040065489089376,-0.3853801775369813,0.9578008205395467,-1.2331974969768373,-0.24322969493464053,0.7447229477793887
Diagnosis_Category_Burns,-0.18483761372906346,0.47737272172451833,-1.4331763152278225,0.5552850505174599,0.5853561567149346,0.6472055715827597
Fire_Involvement_0,-0.44161884277934194,0.42967775628021243,-0.8646482888581614,0.7602947752840099,0.11629460007330812,0.5225068526550067
Product_Category_Home/Bathroom,0.4358206110134994,-0.7385562240884067,0.5623278452814997,0.2873074140784769,-0.546899646285067,0.5141823481493899
Disposition_1,-0.029385889911966123,0.47715885606931313,-1.1388458522515208,-0.010366459719735691,0.7014393458139129,0.4714392807532898
