,0
Diagnosis_Category_Poisoning/Environmental,0.22511204
Diagnosis_Category_Contusion/Hematoma/Internal,0.11953845
Diagnosis_Category_ForeignBody/Aspiration/Ingestion,0.103123724
Diagnosis_Category_Laceration/Puncture/Avulsion/Amputation,0.09550043
Diagnosis_Category_Other/Dental/Nerve/Skin,0.08110176
Diagnosis_Category_Strain/Sprain/Dislocation,0.065437295
Diagnosis_Category_Fracture,0.048276242
Age_Category_0-4,0.040935855
Disposition_1,0.019480344
Age_Category_5-9,0.018488053
Product_Category_Other,0.015366002
Product_Category_Home/Tools,0.013408261
Diagnosis_Category_Burns,0.012470238
Age_Category_10-14,0.010995596
Disposition_4,0.009395504
Age_Category_15-24,0.008900218
Fire_Involvement_0,0.008625084
Age_Category_85+,0.008090315
Product_Category_Apparel/Personal,0.0071470523
Age_Category_25-44,0.0069756242
Age_Category_75-84,0.0064968597
Product_Category_Home/Furniture,0.0062472885
Disposition_8,0.0057503786
Age_Category_45-64,0.005256898
Product_Category_Home/Structures,0.0048937835
Product_Category_Sports/Recreation,0.0048003537
Location_5,0.004799906
Disposition_6,0.004759223
Product_Category_Home/Bathroom,0.004734109
Location_9,0.0046081166
Location_0,0.0046065636
Age_Category_65-74,0.0039604697
Location_1,0.0032202054
Fire_Involvement_1,0.00243031
Location_8,0.0019131242
Location_4,0.0015368778
Sex_2.0,0.001525389
Location_2,0.0013980212
Sex_1.0,0.0011508592
Season_Summer,0.0009909201
Race_2,0.0008515809
Disposition_9,0.0007581311
Sex_nan,0.0006721146
Disposition_2,0.0006017192
Fire_Involvement_3,0.000490213
Race_1,0.00042417814
Disposition_5,0.00041588093
Season_Winter,0.00039977927
Race_0,0.00038938248
Sex_0.0,0.0002983917
Race_4,0.00027744344
Fire_Involvement_2,0.00021069372
Race_6,0.00017862648
Race_5,0.00016376676
Season_Spring,0.00014849218
Race_3,0.00014698312
Season_Fall,0.00012479463
Sex_3.0,0.0
Location_6,0.0
Location_7,0.0
