,0
Diagnosis_Category_Poisoning/Environmental,0.22511204
Diagnosis_Category_Contusion/Hematoma/Internal,0.11953845
Diagnosis_Category_ForeignBody/Aspiration/Ingestion,0.103123724
Diagnosis_Category_Laceration/Puncture/Avulsion/Amputation,0.09550043
Diagnosis_Category_Other/Dental/Nerve/Skin,0.08110176
Diagnosis_Category_Strain/Sprain/Dislocation,0.065437295
Diagnosis_Category_Fracture,0.048276242
Age_Category_0-4,0.040935855
Disposition_1,0.019480344
Age_Category_5-9,0.018488053
Product_Category_Other,0.015366002
Product_Category_Home/Tools,0.013408261
Diagnosis_Category_Burns,0.012470238
Age_Category_10-14,0.010995596
Disposition_4,0.009395504
Age_Category_15-24,0.008900218
Fire_Involvement_0,0.008625084
Age_Category_85+,0.008090315
Product_Category_Apparel/Personal,0.0071470523
Age_Category_25-44,0.0069756242
