Characteristic,Overall,Head/Neck/Face,UpperExt,LowerExt,Trunk,Other/Multiple
Sex,"2,505,553 (100.0%)",,,,,
  Male,"1,172,304 (46.8%)","390,794 (47.5%)","336,090 (51.0%)","232,446 (43.7%)","152,504 (42.8%)","60,470 (44.6%)"
  Female,"994,599 (39.7%)","317,851 (38.6%)","237,414 (36.1%)","230,638 (43.4%)","155,849 (43.8%)","52,847 (39.0%)"
  Missing/Unknown,378 (0.0%),123 (0.0%),107 (0.0%),62 (0.0%),53 (0.0%),33 (0.0%)
  Gender diverse/Intersex,33 (0.0%),10 (0.0%),8 (0.0%),5 (0.0%),7 (0.0%),3 (0.0%)
Race,"2,505,553 (100.0%)",,,,,
  White,"1,161,107 (46.3%)","383,580 (46.6%)","312,146 (47.4%)","233,764 (43.9%)","171,170 (48.1%)","60,447 (44.6%)"
  Missing/Unknown,"775,388 (30.9%)","256,564 (31.2%)","199,015 (30.2%)","163,156 (30.7%)","115,513 (32.4%)","41,140 (30.3%)"
  Black/African American,"404,927 (16.2%)","124,769 (15.2%)","102,219 (15.5%)","101,218 (19.0%)","51,905 (14.6%)","24,816 (18.3%)"
  Other,"109,915 (4.4%)","39,157 (4.8%)","30,013 (4.6%)","23,307 (4.4%)","11,130 (3.1%)","6,308 (4.7%)"
  Asian,"42,079 (1.7%)","15,453 (1.9%)","11,850 (1.8%)","7,860 (1.5%)","4,620 (1.3%)","2,296 (1.7%)"
  American Indian/Alaska Native,"8,612 (0.3%)","2,659 (0.3%)","2,332 (0.4%)","1,921 (0.4%)","1,229 (0.3%)",471 (0.3%)
  Native Hawaiian/Pacific Islander,"3,525 (0.1%)","1,162 (0.1%)",957 (0.1%),802 (0.2%),431 (0.1%),173 (0.1%)
Age_Category,"2,505,553 (100.0%)",,,,,
  25-44,"415,735 (16.6%)","84,346 (10.2%)","133,015 (20.2%)","110,684 (20.8%)","72,155 (20.3%)","15,535 (11.5%)"
  45-64,"379,188 (15.1%)","88,095 (10.7%)","99,947 (15.2%)","90,117 (16.9%)","83,870 (23.6%)","17,159 (12.6%)"
  0-4,"362,763 (14.5%)","218,975 (26.6%)","57,362 (8.7%)","31,742 (6.0%)","9,285 (2.6%)","45,399 (33.5%)"
  15-24,"351,040 (14.0%)","85,845 (10.4%)","112,802 (17.1%)","104,774 (19.7%)","36,991 (10.4%)","10,628 (7.8%)"
